Year,Rank,Name,Position,Ht,Wt,Composite,Stars,School,Sports-Ref Link,RealGM Link,
2003,98,Tyler Smith,PG,6-2,195,0.905,3 Stars,DePaul,/cbb/players/tyler-smith-1.html,/player/Tyler-Smith/Summary/6078,2003.98
2003,99,Keith Blanks,SF,6-6,180,0.901,3 Stars,Texas A&M,/cbb/players/keith-blanks-1.html,/player/LaKeith-Blanks/Summary/5464,2003.99
2003,100,Lee Humphrey,SG,6-3,175,0.9006,3 Stars,Florida,/cbb/players/lee-humphrey-1.html,/player/Lee-Humphrey/Summary/1981,2003.100
2003,101,Shane Power,SF,6-5,210,0.9,3 Stars,Mississippi State,/cbb/players/shane-power-2.html,/player/Shane-Power/Summary/4825,2003.101
2003,102,Brandon Wallace,PF,6-9,185,0.8966,3 Stars,South Carolina,/cbb/players/brandon-wallace-1.html,/player/Brandon-Wallace/Summary/896,2003.102
2003,103,Shawn Taylor,C,6-11,180,0.8952,3 Stars,Alabama,/cbb/players/shawn-taylor-1.html,/player/Shawn-Taylor/Summary/5523,2003.103
2003,104,Justin Benson,PF,6-6,240,0.895,3 Stars,New Mexico,/cbb/players/justin-benson-1.html,/player/Justin-Benson/Summary/9884,2003.104
2003,105,Sheray Thomas,PF,6-8,220,0.8944,3 Stars,Kentucky,/cbb/players/sheray-thomas-1.html,/player/Sheray-Thomas/Summary/5735,2003.105
2003,106,Bobby Perry,SF,6-6,215,0.8938,3 Stars,Kentucky,/cbb/players/bobby-perry-1.html,/player/Bobby-Perry/Summary/5733,2003.106
2003,107,Daon Merritt,PG,5-10,180,0.8932,3 Stars,Richmond,/cbb/players/daon-merritt-1.html,/player/Daon-Merritt/Summary/10706,2003.107
2003,108,Oumar Sylla,SF,6-7,185,0.8928,3 Stars,Valparaiso,/cbb/players/oumar-sylla-1.html,/player/Oumar-Sylla/Summary/10697,2003.108
2003,109,Jeremy Ingram,PG,6-3,192,0.8924,3 Stars,Wake Forest,/cbb/players/jeremy-ingram-1.html,/player/Jeremy-Ingram/Summary/5048,2003.109
2003,110,Nick Brooks,SF,6-5,205,0.892,3 Stars,Butler,/cbb/players/nick-brooks-1.html,/player/Nick-Brooks/Summary/15409,2003.110
2003,111,Omari Isreal,SF,6-8,215,0.8918,3 Stars,Notre Dame,/cbb/players/omari-isreal-1.html,/player/Omari-Isreal/Summary/6217,2003.111
2003,112,Justin Hawkins,SF,6-6,195,0.8916,3 Stars,Utah,/cbb/players/justin-hawkins-1.html,/player/Justin-Hawkins/Summary/1785,2003.112
2003,113,Lorenzo Thompson,PF,6-7,230,0.8912,3 Stars,DePaul,/cbb/players/lorenzo-thompson-1.html,/player/Lorenzo-Thompson/Summary/6065,2003.113
2003,114,Brandon Bell,PG,5-11,180,0.891,3 Stars,Marquette,/cbb/players/brandon-bell-1.html,/player/Brandon-Bell/Summary/6184,2003.114
2003,115,Paul Millsap,PF,6-7,215,0.8908,3 Stars,Louisiana Tech,/cbb/players/paul-millsap-1.html,/player/Paul-Millsap/Summary/112,2003.115
2003,116,Vernon Hamilton,PG,6-1,185,0.8906,3 Stars,Clemson,/cbb/players/vernon-hamilton-1.html,/player/Vernon-Hamilton/Summary/903,2003.116
2003,117,Dane Bradshaw,PG,6-3,215,0.8902,3 Stars,Tennessee,/cbb/players/dane-bradshaw-1.html,/player/Dane-Bradshaw/Summary/5930,2003.117
2003,118,Darnell Lazare,PF,6-8,220,0.89,3 Stars,LSU,/cbb/players/darnell-lazare-1.html,/player/Darnell-Lazare/Summary/5764,2003.118
2003,119,Vincent Hunter,C,6-10,193,0.8898,3 Stars,Arkansas,/cbb/players/vincent-hunter-1.html,/player/Vincent-Hunter/Summary/5554,2003.119
2003,120,Jamar Nutter,PG,6-2,191,0.8896,3 Stars,Seton Hall,/cbb/players/jamar-nutter-1.html,/player/Jamar-Nutter/Summary/6384,2003.120
2003,121,Dante Milligan,SF,6-8,200,0.8894,3 Stars,Pittsburgh,/cbb/players/dante-milligan-1.html,/player/Dante-Milligan/Summary/6256,2003.121
2003,123,Mike Henderson,PG,6-3,190,0.8888,3 Stars,Iowa,/cbb/players/mike-henderson-1.html,/player/Mike-Henderson/Summary/4457,2003.123
2003,124,Grant Billmeier,C,6-10,235,0.8884,3 Stars,Seton Hall,/cbb/players/grant-billmeier-1.html,/player/Grant-Billmeier/Summary/6385,2003.124
2003,125,Jordan Howell,PG,6-3,180,0.8882,3 Stars,Tennessee,/cbb/players/jordan-howell-1.html,/player/Jordan-Howell/Summary/5927,2003.125
2003,126,Dion Dacons,SF,6-6,195,0.8876,3 Stars,Temple,/cbb/players/dion-dacons-1.html,/player/Dion-Dacons/Summary/10893,2003.126
2003,127,Aaron Gray,C,7-1,280,0.8871,3 Stars,Pittsburgh,/cbb/players/aaron-gray-1.html,/player/Aaron-Gray/Summary/11,2003.127
2003,128,Jimmy Tobias,SF,6-4,185,0.8869,3 Stars,Oklahoma,/cbb/players/jimmy-tobias-1.html,/player/Jimmy-Tobias/Summary/5413,2003.128
2003,129,Nick Williams,SG,6-4,185,0.8778,3 Stars,Cincinnati,/cbb/players/nick-williams-1.html,/player/Nick-Williams/Summary/6010,2003.129
2003,130,Will Blalock,PG,6-2,175,0.8667,3 Stars,Iowa State,/cbb/players/will-blalock-1.html,/player/Will-Blalock/Summary/124,2003.130
2003,131,Tre Kelley,PG,6-1,180,0.8667,3 Stars,South Carolina,/cbb/players/tre-kelley-1.html,/player/Tre-Kelley/Summary/938,2003.131
2003,133,Michael Cuffee,SF,6-4,200,0.8556,3 Stars,Middle Tennessee State,/cbb/players/michael-cuffee-1.html,/player/Michael-Cuffee/Summary/1909,2003.133
2003,134,Justin Marshall,PF,6-6,205,0.8556,3 Stars,Iona,/cbb/players/justin-marshall-1.html,/player/Justin-Marshall/Summary/18163,2003.134
2003,135,Tyler Chaney,SF,6-3,205,0.8556,3 Stars,Missouri State,/cbb/players/tyler-chaney-1.html,/player/Tyler-Chaney/Summary/7428,2003.135
2003,136,Justin Jonus,SG,6-7,200,0.8556,3 Stars,Alabama,/cbb/players/justin-jonus-1.html,/player/Justin-Jonus/Summary/5518,2003.136
2003,137,D'wan Youmans,SG,6-4,200,0.8556,3 Stars,Northeastern,/cbb/players/dwan-youmans-1.html,/player/DWan-Youmans/Summary/18833,2003.137
2003,138,Rashard Turner,PG,5-9,175,0.8556,3 Stars,Kent State,/cbb/players/rashard-turner-1.html,/player/Rashard-Turner/Summary/11526,2003.138
2003,139,Marty O'Sullivan,SF,6-6,210,0.8556,3 Stars,Fairfield,/cbb/players/marty-osullivan-1.html,/player/Marty-OSullivan/Summary/18108,2003.139
2003,140,Mike Hall,SG,6-2,198,0.8556,3 Stars,Brigham Young,/cbb/players/mike-hall-2.html,/player/Mike-Hall/Summary/9778,2003.140
2003,142,Brandon Jeffers,SF,6-6,212,0.8556,3 Stars,Radford,/cbb/players/brandon-jeffers-1.html,/player/Brandon-Jeffers/Summary/16305,2003.142
2003,143,Oswaldo Gonzalez,PF,6-9,230,0.8556,3 Stars,Tulsa,/cbb/players/oswaldo-gonzalez-1.html,/player/Oswaldo-Gonzalez/Summary/8142,2003.143
2003,144,Nate Lofton,C,6-9,250,0.8556,3 Stars,Southeastern Louisiana,/cbb/players/nate-lofton-1.html,/player/Nate-Lofton/Summary/21859,2003.144
2003,145,Durell Vinson,PF,6-6,210,0.8556,3 Stars,Wagner,/cbb/players/durell-vinson-1.html,/player/Durell-Vinson/Summary/20949,2003.145
2003,147,James Odoms,SF,6-5,205,0.8556,3 Stars,Mercer,/cbb/players/james-odoms-1.html,/player/James-Odoms/Summary/14509,2003.147
2003,148,J.R. Pinnock,SG,6-5,200,0.8556,3 Stars,George Washington,/cbb/players/jr-pinnock-1.html,/player/JR-Pinnock/Summary/123,2003.148
2003,149,Tyrone Nelson,PF,6-10,205,0.8556,3 Stars,Prairie View A&M,/cbb/players/tyrone-nelson-2.html,/player/Tyrone-Nelson/Summary/9100,2003.149
2003,150,Ryan Wall,PG,5-11,160,0.8556,3 Stars,New Mexico,/cbb/players/ryan-wall-1.html,/player/Ryan-Wall/Summary/9879,2003.150
2003,152,Demetrius Brown,PF,6-5,235,0.8556,3 Stars,San Jose State,/cbb/players/demetrius-brown-1.html,/player/DJ-Brown/Summary/9165,2003.152
2003,153,Ray Barbosa,PG,6-2,175,0.8556,3 Stars,James Madison,/cbb/players/ray-barbosa-2.html,/player/Ray-Barbosa/Summary/17970,2003.153
2003,154,Obie Nwadike,SF,6-3,190,0.8556,3 Stars,Central Connecticut State,/cbb/players/obie-nwadike-1.html,/player/Obie-Nwadike/Summary/20479,2003.154
2003,155,Eric Fowlkes,SG,6-4,190,0.8556,3 Stars,Oral Roberts,/cbb/players/eric-fowlkes-1.html,/player/Eric-Fowlkes/Summary/13049,2003.155
2003,156,Jamaal Dixon,SG,6-3,175,0.8556,3 Stars,Loyola (MD),/cbb/players/jamaal-dixon-1.html,/player/Jamal-Dixon/Summary/16298,2003.156
2003,157,Jesse Holley,SG,6-3,190,0.8556,3 Stars,North Carolina,/cbb/players/jesse-holley-1.html,/player/Jesse-Holley/Summary/4963,2003.157
2003,158,Walt Waters,C,6-9,265,0.8556,3 Stars,Cleveland State,/cbb/players/walt-waters-1.html,/player/Walt-Waters/Summary/15470,2003.158
2003,159,Dandrick Jones,SG,6-4,190,0.8556,3 Stars,Idaho,/cbb/players/dandrick-jones-1.html,/player/Dandrick-Jones/Summary/8961,2003.159
2003,160,Torvoris Baker,SF,6-6,210,0.8556,3 Stars,Detroit,/cbb/players/torvoris-baker-1.html,/player/Torvoris-Baker/Summary/15508,2003.160
2003,161,Shawn Wiggins,SG,6-3,175,0.8556,3 Stars,South Carolina State,/cbb/players/shawn-wiggins-1.html,/player/Shawn-Wiggins/Summary/19696,2003.161
2003,162,Schuyler Thomas,PF,6-8,220,0.8556,3 Stars,Oral Roberts,/cbb/players/schuyler-thomas-1.html,/player/Schuyler-Thomas/Summary/13058,2003.162
2003,163,Keith Simmons,SF,6-5,180,0.8556,3 Stars,Holy Cross,/cbb/players/keith-simmons-1.html,/player/Keith-Simmons/Summary/17173,2003.163
2003,164,Malcolm Manier,SG,6-2,190,0.8556,3 Stars,Georgia State,/cbb/players/malcolm-manier-1.html,/player/Malcolm-Manier/Summary/18647,2003.164
2003,165,Justin Williams,PF,6-9,240,0.8556,3 Stars,Kansas State,/cbb/players/justin-williams-2.html,/player/Justin-Williams/Summary/5353,2003.165
2003,166,Nick Hammer,SF,6-5,200,0.8556,3 Stars,Utah State,/cbb/players/nick-hammer-1.html,/player/Nick-Hammer/Summary/9231,2003.166
2003,167,Eto Onyenegecha,SF,6-6,210,0.8556,3 Stars,Cal State Northridge,/cbb/players/etoagwara-onyenegecha-1.html,/player/Eto-Onyenegecha/Summary/16590,2003.167
2003,168,Dion Sherrell,SG,6-3,210,0.8556,3 Stars,Wyoming,/cbb/players/dion-sherrell-1.html,/player/Dion-Sherrell/Summary/7607,2003.168
2003,169,Terren Harbut,PF,6-6,215,0.8556,3 Stars,Ohio,/cbb/players/terren-harbut-1.html,/player/Terren-Harbut/Summary/11624,2003.169
2003,170,Christopher Reay,C,6-9,245,0.8556,3 Stars,SMU,/cbb/players/christopher-reay-1.html,/player/Christopher-Reay/Summary/7990,2003.170
2003,171,Max Schafer,PG,6-1,195,0.8556,3 Stars,Princeton,/cbb/players/max-schafer-1.html,/player/Max-Schafer/Summary/12681,2003.171
2003,172,Antonio Graves,SG,6-3,190,0.8556,3 Stars,Pittsburgh,/cbb/players/antonio-graves-1.html,/player/Antonio-Graves-Davis/Summary/1822,2003.172
2003,174,Byron Davis,PG,6-2,180,0.8556,3 Stars,New Mexico State,/cbb/players/byron-davis-1.html,/player/Byron-Davis/Summary/9110,2003.174
2003,175,Anthony Grant,SG,6-4,185,0.8556,3 Stars,Washington State,/cbb/players/anthony-grant-1.html,/player/Anthony-Grant/Summary/7034,2003.175
2003,176,Will Whittington,SG,6-3,170,0.8556,3 Stars,Marist,/cbb/players/will-whittington-1.html,/player/Will-Whittington/Summary/18299,2003.176
2003,177,Mitchell Beauford,PG,5-11,185,0.8556,3 Stars,Stony Brook,/cbb/players/mitchell-beauford-1.html,/player/Mitchell-Beauford/Summary/17916,2003.177
2003,178,Dietric Slater,SG,6-3,190,0.8556,3 Stars,Mississippi State,/cbb/players/dietric-slater-1.html,/player/Dietric-Slater/Summary/5852,2003.178
2003,179,Damion Staple,PF,6-7,230,0.8556,3 Stars,Iowa State,/cbb/players/damion-staple-1.html,/player/Damion-Staple/Summary/5314,2003.179
