Name,RealGM ID,Height (inches),Wingspan (inches),Standing Reach (inches),Weight (lbs)
Ryghe Lyons ,122282,82,N/A,N/A,230
Steffon Mitchell ,89436,80,N/A,N/A,222
Dru Smith ,89521,75,N/A,N/A,195
Carlik Jones ,107107,72,N/A,N/A,170
Xavier Sneed ,88771,77,81,N/A,210
De'Monte Buckingham ,85965,76,N/A,N/A,215
Blake Harris ,88119,75,N/A,N/A,195
Ryan Betley ,95919,77,N/A,N/A,185
Cody Riley ,74074,82,N/A,N/A,265
Mustapha Heron ,59505,77,80,102,205
Andrew Jones ,103161,76.25,78.5,99.5,185
Zach Norvell Jr.,85617,77,N/A,N/A,205
Sam Hauser ,90834,79,N/A,N/A,225
Eugene German ,92849,72,N/A,N/A,175
De'Andre Hunter ,86000,80,86,N/A,222
Nick Richards ,88857,83.75,87.75,108.5,239
Dachon Burke ,107593,76,N/A,N/A,180
Zack Bryant ,121645,74,N/A,N/A,180
Danny Pippen ,106947,81,N/A,N/A,222
Matt Morgan ,84796,74,N/A,N/A,174
Seth Towns ,85613,79,N/A,N/A,215
Kouat Noi ,76274,79,N/A,N/A,210
Justin Wright-Foreman ,84328,73,N/A,N/A,185
D'Marcus Simonds ,86758,75,N/A,N/A,180
TJ Shorts II,121957,69,N/A,N/A,160
Justin Robinson ,76743,74,N/A,N/A,190
Abdul Ado ,76385,83,88,N/A,250
Anthony Cowan ,85658,72,N/A,N/A,170
Alterique Gilbert ,76755,70.5,72.5,N/A,181
AJ Brodeur ,86008,80,N/A,N/A,225
Cameron McGriff ,89968,79,N/A,N/A,220
Curtis Haywood II,121414,77,N/A,N/A,198
Tyus Battle ,42370,78,80,N/A,205
Tyler Cook ,85940,81,N/A,N/A,255
Jarron Cumberland ,85927,76.5,77.5,N/A,217
Nathan Knight ,107310,82,86.25,N/A,235
Kamar Baldwin ,107344,72,N/A,N/A,170
Jared Harper ,80896,70,N/A,N/A,170
Kellan Grady ,90019,77,N/A,N/A,195
Kameron McGusty ,85679,77,78,96.5,191
Sa'eed Nelson ,107273,73,N/A,N/A,175
Cameron Lard ,85598,81,N/A,N/A,225
Nick Ward ,85606,80,86,N/A,241
Kyle Allman ,98102,75,N/A,N/A,175
DaQuan Jeffries ,89155,77,N/A,N/A,225
Andrew Kostecka ,85194,76,N/A,N/A,180
Nick Mayo ,84615,81,N/A,N/A,240
Jason Burnell ,97850,79,N/A,N/A,220
Mfiondu Kabengele ,107079,81,N/A,N/A,235
Kyle Guy ,76387,74,N/A,N/A,175
Jermaine Marrow ,106743,72,N/A,N/A,182
Donta Hall ,73160,81,88,N/A,232
Miye Oni ,93804,78,N/A,N/A,200
Matt Rafferty ,88564,80,N/A,N/A,215
Koby McEwen ,51977,76,78,98,185
Jessie Govan ,59513,82.5,88,110,261
Chris Clemons ,85124,69,N/A,N/A,165
Ed Polite Jr.,85333,77,N/A,N/A,200
Mitch Lightfoot ,85637,80,N/A,N/A,210
Aric Holman ,84325,82,N/A,N/A,225
Lamar Stevens ,85596,80,N/A,N/A,226
Myles Powell ,91704,74,N/A,N/A,195
Ty Jerome ,85677,77,N/A,N/A,200
Kipper Nichols ,85113,78,N/A,N/A,225
Ike Smith ,84382,76,N/A,N/A,195
Lamonte Turner ,85620,73,N/A,N/A,183
Alpha Diallo ,85800,79,N/A,N/A,211
Tahjai Teague ,83958,80,N/A,N/A,218
Kevon Harris ,107611,78,N/A,N/A,225
Rickey McGill ,85400,73,N/A,N/A,175
Amir Coffey ,59502,80,N/A,N/A,195
MaCio Teague ,84940,75,N/A,N/A,185
Max Heidegger ,85798,74,N/A,N/A,181
Corey Davis Jr.,84803,73,N/A,N/A,190
Josh Reaves ,83908,76,79,N/A,210
Derryck Thornton ,54837,74,N/A,N/A,185
Xeyrius Williams ,84058,80,N/A,N/A,210
Justinian Jessup ,86984,78,N/A,N/A,200
Tyler Davis ,73165,82,N/A,N/A,266
Keith Braxton ,107599,76,N/A,N/A,208
Jordon Varnado ,89323,78,N/A,N/A,216
Pauly Paulicap ,114200,80,N/A,N/A,220
Aaron Jordan ,64145,77,N/A,N/A,210
Jacob Larsen ,53888,83,N/A,N/A,227
Lindsey Drew ,84546,76,N/A,N/A,180
Jon Teske ,85626,85,N/A,N/A,255
Markus Golder ,121570,78,N/A,N/A,195
Matt Haarms ,87939,87,N/A,N/A,250
C.J. Massinburg ,90409,75,N/A,N/A,194
Martaveous McKnight ,124653,76,N/A,N/A,190
Tyler Hall ,84055,76,N/A,N/A,175
Stephen Thompson Jr.,73152,76,N/A,N/A,190
Bryant Crawford ,41311,75,79,98,185
Dazon Ingram ,84042,77,N/A,N/A,193
Kevarrius Hayes ,83907,81,N/A,N/A,225
Matisse Thybulle ,84040,77,N/A,N/A,195
Jordan Murphy ,76231,78,N/A,N/A,230
Justin Jackson ,41335,79,87.25,107,225
Dimencio Vaughn ,107312,77,N/A,N/A,210
