name,year,playerid,height_no_shoes,height_shoes,weight,wingspan,st_reach,body_fat,hand_len,hand_width,no_step_vert,no_step_vert_reach,max_vert,max_vert_reach,bench,agility,sprint
Aleksandar Cvetkovic,2012,/player/Aleksandar-Cvetkovic/Summary/24800,NA,74,165,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleksander Djuric,2003,/player/Aleksandar-Djuric/Summary/2731,82,83.25,253,84,108,16.3,NA,NA,23.5,131.5,27.5,135.5,3,11.97,3.65
Aleksandar Ugrinoski,2007,/player/Aleksandar-Ugrinovski/Summary/2432,NA,74.75,179,78,95.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleksa Nikolic,2015,/player/Aleksa-Nikolic/Summary/80648,73.5,74.5,186,76,97.5,NA,NA,NA,26.5,124,32.5,130,NA,NA,3.34
Aleksa Radanov,2014,/player/Aleksa-Radanov/Summary/54448,NA,NA,NA,NA,NA,NA,NA,NA,23.5,NA,30,NA,NA,11.04,3.45
Aleks Maric,2008,/player/Aleks-Maric/Summary/1902,81.75,82.75,273,85,109.5,10.1,NA,NA,23,132.5,28,137.5,15,11.76,3.35
Ales Chan,2004,/player/Ales-Chan/Summary/6625,84,86,255,87,113,NA,NA,NA,21,134,29,142,2,12.9,3.62
Alex Acker,2005,/player/Alex-Acker/Summary/158,75.75,76.75,183,84,102.5,NA,NA,NA,28,130.5,32,134.5,11,11.67,3.35
Alexandre Chassang,2015,/player/Alexandre-Chassang/Summary/27712,79.5,80.5,213,82.5,105,NA,NA,NA,24.5,129.5,27,132,NA,NA,3.49
Aleksandros Sigkounas,2009,/player/Alexandros-Sigkounas/Summary/2576,77.75,79,232,80,103,NA,NA,NA,29,132,31,134,NA,NA,3.92
Alexandre Zhigulin,2014,/player/Alexandr-Zhigulin/Summary/25104,NA,NA,NA,82.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
