,name,season,gp,mp,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,pf,tov,pts,mp_tot,fgm_tot,fga_tot,fg3m_tot,fg3a_tot,ftm_tot,fta_tot,oreb_tot,dreb_tot,reb_tot,ast_tot,stl_tot,blk_tot,pf_tot,tov_tot,pts_tot,ts_pct,efg_pct,oreb_pct,dreb_pct,reb_pct,ast_pct,tov_pct,stl_pct,blk_pct,usg_pct,dbl_dbl,tpl_dbl,pts40,pts20,ast20,ast_to,stl_to,ft_fga,ff,season_count
5483,Mason Plumlee,2017,74,19.445945945945947,2.9864864864864864,4.972972972972973,0.6040945945945946,0.0,0.013513513513513514,0.0,1.1081081081081081,2.4324324324324325,0.37881081081081075,1.7837837837837838,3.6216216216216215,5.405405405405405,1.9189189189189189,0.6621621621621622,1.0945945945945945,2.4864864864864864,1.3918918918918919,7.081081081081081,1439,221,368,0,1,82,180,132,268,400.0,142,49,81,184,103,524,0.5839165527746341,0.6040701415701416,9.66407757971861,19.499462819762776,14.581770199740692,14.765651068184916,19.76846787899353,1.6924168781154685,5.173371572390376,17.038597736964753,3,0,0,0,0,1.3786407766990292,0.47572815533980584,0.4891304347826087,7.189930107537553,5
5504,Matt Bonner,2004,82,18.951219512195124,3.0121951219512195,5.646341463414634,0.5160243902439026,0.47560975609756095,1.1219512195121952,0.20750000000000002,0.6829268292682927,0.8658536585365854,0.28557317073170735,1.3170731707317074,2.158536585365854,3.475609756097561,0.5853658536585366,0.47560975609756095,0.23170731707317074,2.682926829268293,0.4878048780487805,7.182926829268292,1554,247,463,39,92,56,71,108,177,285.0,48,39,19,220,40,589,0.5786213979742095,0.5571270193221414,8.569274510113855,14.406717274785986,11.487995892449925,5.254759317536078,9.16247981164282,1.3111140663546297,1.0060491331824086,16.16529295846531,0,0,0,1,1,1.2,0.975,0.15334773218142547,4.250327822489546,1
5505,Matt Bonner,2005,78,21.743589743589745,2.6794871794871793,5.987179487179487,0.42142307692307696,1.3076923076923077,3.1153846153846154,0.3598974358974358,0.8076923076923077,0.9743589743589743,0.3269230769230769,1.1025641025641026,2.5384615384615383,3.641025641025641,0.717948717948718,0.6282051282051282,0.3974358974358974,2.769230769230769,0.41025641025641024,7.4743589743589745,1696,209,467,102,243,63,76,86,198,284.0,56,49,31,216,32,583,0.5506224497433002,0.5224294402179019,6.132740201566869,14.118244616723429,10.12549240914515,5.128105964032713,6.532170341285033,1.4647839708171853,1.3886378882009234,14.46808481580069,2,0,0,0,0,1.75,1.53125,0.16274089935760172,3.092973536625433,2
5506,Matt Bonner,2006,56,11.803571428571429,1.8928571428571428,4.232142857142857,0.4166785714285715,0.6428571428571429,1.6785714285714286,0.3276785714285714,0.48214285714285715,0.6785714285714286,0.21132142857142858,1.1428571428571428,1.6428571428571428,2.7857142857142856,0.39285714285714285,0.30357142857142855,0.19642857142857142,1.1964285714285714,0.44642857142857145,4.910714285714286,661,106,237,36,94,27,38,64,92,156.0,22,17,11,67,25,275,0.5035467128212672,0.5003791099773242,11.963982874406877,18.65366724649504,15.308825060450957,5.303378808307079,7.692257087466386,1.2310902222467202,1.0200825102120026,21.022945343335124,1,0,0,0,0,0.88,0.68,0.16033755274261605,4.540063123650294,3
5507,Matt Bonner,2007,68,12.602941176470589,1.7794117647058822,4.279411764705882,0.3047058823529411,0.6764705882352942,2.014705882352941,0.1890735294117647,0.5588235294117647,0.6470588235294118,0.25,0.7794117647058824,2.0441176470588234,2.823529411764706,0.47058823529411764,0.20588235294117646,0.25,1.6323529411764706,0.5735294117647058,4.794117647058823,857,121,291,46,137,38,44,53,139,192.0,32,14,17,111,39,326,0.3803874788135784,0.35326376034096624,5.815235155859861,19.152172234360307,12.483703695110082,0.532081092170908,9.678710039501677,0.7965570784220326,1.5633242521257211,18.301226724287154,2,0,0,1,1,0.8205128205128205,0.358974358974359,0.15120274914089346,3.746710457554912,4
5508,Matt Bonner,2008,81,23.82716049382716,3.2839506172839505,6.617283950617284,0.4787283950617283,1.4567901234567902,3.308641975308642,0.41991358024691344,0.20987654320987653,0.2839506172839506,0.11317283950617284,1.1975308641975309,3.567901234567901,4.765432098765432,1.0123456790123457,0.5802469135802469,0.32098765432098764,2.345679012345679,0.4567901234567901,8.234567901234568,1930,266,536,118,268,17,23,97,289,386.0,82,47,26,190,37,667,0.5914086964298954,0.5871827911860592,5.3922664782929095,18.038223600044088,11.715245039168499,6.877960355536034,6.384585809119399,1.2240941398137877,1.0710070529287956,14.273376447588191,1,0,0,3,3,2.2162162162162162,1.2702702702702702,0.04291044776119403,2.9159094315770346,5
5509,Matt Bonner,2009,65,17.892307692307693,2.5538461538461537,5.723076923076923,0.4080153846153845,1.3846153846153846,3.5538461538461537,0.3332,0.5384615384615384,0.7384615384615385,0.24820000000000003,0.8,2.4923076923076923,3.292307692307692,1.0461538461538462,0.46153846153846156,0.36923076923076925,1.676923076923077,0.6,7.030769230769231,1163,166,372,90,231,35,48,52,162,214.0,68,30,24,109,39,457,0.5209314397998605,0.5172376341607111,4.77780881355952,14.43593231854006,9.606870566049793,7.838058871078061,10.035250249092345,1.4248526786263325,1.5266152811570113,16.854009600343197,1,0,0,3,3,1.7435897435897436,0.7692307692307693,0.12903225806451613,3.690624217358952,6
5510,Matt Bonner,2010,66,21.681818181818183,2.606060606060606,5.621212121212121,0.4805,1.5909090909090908,3.484848484848485,0.4401060606060606,0.48484848484848486,0.6515151515151515,0.1821969696969697,0.9090909090909091,2.712121212121212,3.621212121212121,0.9090909090909091,0.3939393939393939,0.3181818181818182,1.6666666666666667,0.4090909090909091,7.287878787878788,1431,172,371,105,230,32,43,60,179,239.0,60,26,21,110,27,481,0.6460450173797326,0.6328613516113516,4.8806136465225,14.390534814975231,9.635574230748864,6.362004609270985,5.955770508352073,0.9924201135836243,1.2383177116891575,13.662218415021936,1,0,0,1,1,2.2222222222222223,0.9629629629629629,0.11590296495956873,2.735595341780994,7
5511,Matt Bonner,2011,65,20.4,2.3692307692307693,5.384615384615385,0.4241692307692305,1.6153846153846154,3.8461538461538463,0.39670769230769226,0.24615384615384617,0.3230769230769231,0.0956,0.4461538461538462,2.8461538461538463,3.292307692307692,0.9384615384615385,0.23076923076923078,0.3230769230769231,1.0461538461538462,0.2153846153846154,6.6,1326,154,350,105,250,16,21,29,185,214.0,61,15,21,68,14,429,0.5763667653804839,0.5717063492063492,2.570878992714356,15.512709051319902,9.041794022017129,6.521029435721806,3.4520612086256595,0.5180453039079185,1.163749880676815,12.534258864893124,1,0,0,1,1,4.357142857142857,1.0714285714285714,0.06,1.6148736403818256,8
5512,Matt Bonner,2012,68,13.426470588235293,1.6470588235294117,3.3823529411764706,0.4046764705882353,0.7794117647058824,1.7647058823529411,0.3112941176470589,0.16176470588235295,0.22058823529411764,0.08088235294117647,0.36764705882352944,1.5294117647058822,1.8970588235294117,0.5294117647058824,0.25,0.27941176470588236,1.2647058823529411,0.23529411764705882,4.235294117647059,913,112,230,53,120,11,15,25,104,129.0,36,17,19,86,16,288,0.5016112264449692,0.49596463585434175,2.7195828052740314,12.897844392857923,7.808713599065975,5.5762281477571705,6.253357834760644,1.1803899407662877,1.5078202826566955,12.067583734449267,1,0,0,0,0,2.25,1.0625,0.06521739130434782,2.315424482782356,9
5513,Matt Bonner,2013,61,11.39344262295082,1.1967213114754098,2.6885245901639343,0.38763934426229507,0.6885245901639344,1.6065573770491803,0.31686885245901636,0.14754098360655737,0.19672131147540983,0.05737704918032787,0.26229508196721313,1.8688524590163935,2.1311475409836067,0.5081967213114754,0.2459016393442623,0.18032786885245902,0.8032786885245902,0.26229508196721313,3.2295081967213113,695,73,164,42,98,9,12,16,114,130.0,31,15,11,49,16,197,0.5023335462763132,0.5009595368201926,2.7461281392131567,21.355281272827927,12.050704706020545,4.932639903992951,9.498480793325307,0.9205206371345668,1.0485599994367614,10.96181910766086,1,0,0,0,0,1.9375,0.9375,0.07317073170731707,3.1352052506581325,10
5514,Matt Bonner,2014,72,13.01388888888889,1.3055555555555556,3.1944444444444446,0.3324444444444444,0.6388888888888888,1.75,0.25463888888888886,0.4166666666666667,0.5138888888888888,0.1425972222222222,0.4027777777777778,1.1944444444444444,1.5972222222222223,0.6527777777777778,0.1388888888888889,0.16666666666666666,0.9027777777777778,0.1527777777777778,3.6666666666666665,937,94,230,46,126,30,37,29,86,115.0,47,10,12,65,11,264,0.4366508722997273,0.4108465608465608,3.193960242988869,10.584534962405735,6.8892476026973055,7.2477771246506,5.8168490460157125,0.4014270528093926,0.7815195568398896,11.894279278416992,0,0,0,0,0,4.2727272727272725,0.9090909090909091,0.1608695652173913,2.281473369222935,11
5515,Matt Bonner,2015,30,7.333333333333333,0.9666666666666667,1.9,0.3544333333333333,0.5,1.1333333333333333,0.27776666666666666,0.1,0.13333333333333333,0.05,0.1,0.8,0.9,0.3,0.2,0.03333333333333333,0.5333333333333333,0.1,2.533333333333333,220,29,57,15,34,3,4,3,24,27.0,9,6,1,16,3,76,0.45805976430976436,0.4402777777777778,1.3589659515047112,14.571373521524778,7.965169736514745,5.03162520730107,2.888888888888889,1.8973517021705082,0.1364023870417732,12.733105549545064,0,0,0,0,0,3.0,2.0,0.07017543859649122,1.1806528394237492,12
5518,Matt Carroll,2003,16,4.1875,0.4375,1.0,0.1833125,0.0625,0.1875,0.0625,0.25,0.375,0.09375,0.0625,0.3125,0.375,0.125,0.0625,0.0,0.5,0.375,1.1875,67,7,16,1,3,4,6,1,5,6.0,2,1,0,8,6,19,0.2282551850527445,0.18958333333333335,0.3978779840848807,5.581503321012105,2.9896906525484925,10.38961038961039,13.307445759368838,0.7374141344352472,0.0,13.506319083322435,0,0,0,0,0,0.3333333333333333,0.16666666666666666,0.375,3.5385203699925185,1
5519,Matt Carroll,2004,25,17.2,2.8,7.2,0.3728399999999999,0.52,1.56,0.28996,2.84,3.32,0.659,0.52,1.88,2.4,0.68,0.68,0.08,1.48,1.0,8.96,430,70,180,13,39,71,83,13,47,60.0,17,17,2,37,25,224,0.4843415192914247,0.4077160617160617,4.265271166598409,11.522491819144381,7.8938814928713965,6.139276948441751,9.449894495377968,2.0360923631805585,0.24060810810810807,25.32442024270249,0,0,0,2,2,0.68,0.68,0.46111111111111114,3.4477809485172655,2
5520,Matt Carroll,2005,78,16.423076923076923,2.4615384615384617,6.102564102564102,0.3389871794871795,0.9230769230769231,2.371794871794872,0.276448717948718,1.7692307692307692,2.1538461538461537,0.5746282051282052,0.4358974358974359,1.5769230769230769,2.0128205128205128,0.44871794871794873,0.6025641025641025,0.14102564102564102,1.5384615384615385,0.6153846153846154,7.615384615384615,1281,192,476,72,185,138,168,34,123,157.0,35,47,11,120,48,594,0.45882188021428744,0.3989298095067326,3.3086503958141495,11.24992101663812,7.279285706226135,4.255649450454143,8.93051452153877,1.5820212279108261,0.7149605533449497,20.777212821143394,0,0,0,3,3,0.7291666666666666,0.9791666666666666,0.35294117647058826,3.1068718098208037,3
5521,Matt Carroll,2006,72,26.041666666666668,3.9583333333333335,9.13888888888889,0.39025000000000004,1.5416666666666667,3.7083333333333335,0.36502777777777773,2.611111111111111,2.888888888888889,0.7395555555555554,0.4861111111111111,2.388888888888889,2.875,1.2638888888888888,0.7361111111111112,0.125,2.4444444444444446,1.0138888888888888,12.069444444444445,1875,285,658,111,267,188,208,35,172,207.0,91,53,9,176,73,869,0.5442028618980841,0.4672350777065688,2.067840022453819,10.236351313844716,6.152095668149266,8.63054186307793,8.8748933311708,1.555692330516223,0.353640241714822,19.944736654491393,0,0,0,11,11,1.2465753424657535,0.726027397260274,0.3161094224924012,2.8666017817399516,4
5522,Matt Carroll,2007,80,25.125,3.15,7.3625,0.40471249999999986,1.3125,3.0125,0.35216249999999993,1.3875,1.725,0.4608125,0.4125,2.4125,2.825,0.9125,0.575,0.2375,2.3375,0.725,9.0,2010,252,589,105,241,111,138,33,193,226.0,73,46,19,187,58,720,0.5181918283404133,0.4844084040959042,2.178278727702083,11.834488424976602,7.00638357633934,5.791824824227939,7.98336335141352,1.1511535895219487,0.7768281846131535,16.502119176563887,0,0,0,3,3,1.2586206896551724,0.7931034482758621,0.23429541595925296,2.6604042574260465,5
5523,Matt Carroll,2008,55,11.181818181818182,1.1818181818181819,3.109090909090909,0.3001272727272727,0.23636363636363636,0.9636363636363636,0.12181818181818183,0.38181818181818183,0.45454545454545453,0.19241818181818182,0.12727272727272726,1.1272727272727272,1.2545454545454546,0.4909090909090909,0.38181818181818183,0.10909090909090909,1.2181818181818183,0.6,2.981818181818182,615,65,171,13,53,21,25,7,62,69.0,27,21,6,67,33,164,0.35502203291410156,0.3359451659451659,1.8300970585555567,12.40752696572245,7.118812012139004,5.736436674847255,16.062612160068408,1.639867248547803,0.9817489214899107,16.25226290343673,0,0,0,0,0,0.8181818181818182,0.6363636363636364,0.14619883040935672,4.537980342667683,6
5524,Matt Carroll,2009,25,4.84,0.72,2.0,0.28332,0.16,0.76,0.14,0.24,0.24,0.12,0.16,0.32,0.48,0.24,0.2,0.0,0.52,0.28,1.84,121,18,50,4,19,6,6,4,8,12.0,6,5,0,13,7,46,0.35037227949599087,0.325,2.3207123697024032,9.396535995526028,5.858624182614216,6.8202980896006515,8.153005464480875,2.393405904399356,0.0,23.10154712880195,0,0,0,0,0,0.8571428571428571,0.7142857142857143,0.12,2.6503938400606994,7
5525,Matt Carroll,2010,54,10.833333333333334,1.6481481481481481,3.685185185185185,0.37524074074074065,0.3148148148148148,0.8518518518518519,0.13703703703703704,0.7407407407407407,0.9629629629629629,0.29412962962962963,0.2222222222222222,1.037037037037037,1.2592592592592593,0.42592592592592593,0.3148148148148148,0.1111111111111111,0.7962962962962963,0.42592592592592593,4.351851851851852,585,89,199,17,46,40,52,12,56,68.0,23,17,6,43,23,235,0.42401437574753476,0.40393618726952063,2.5908710693048467,10.7254288312198,6.658149950262323,5.778282503940115,8.291489735979575,1.2867918169100787,0.579279936363876,18.052894863440926,0,0,0,1,1,1.0,0.7391304347826086,0.2613065326633166,2.7918171026631686,8
